,Name ,County ,Acres ,Start Date ,Contained Date ,Unnamed: 5
37,Williams,Los Angeles,"4,192",2-Sep-12,11-Sep-12,
38,Sixteen Complex,Colusa,"19,000",4-Sep-12,11-Sep-12,
39,Stafford,Trinity,"4,407",5-Sep-12,13-Sep-12,
40,Likely,Lassen,"9,838",5-Sep-12,14-Sep-12,
41,Scotts,Lake,"4,517",7-Sep-12,14-Sep-12,
42,Shockey,San Diego,"2,555",23-Sep-12,27-Sep-12,
0,Panther,Tehama,"6,896",1-May-13,9-May-13,
1,Summit,Riverside,"3,161",1-May-13,4-May-13,
2,Springs,Ventura,"24,251",2-May-13,9-May-13,
3,Grand,Kern,"4,346",15-May-13,22-May-13,
4,Felipe,San Diego,"2,650",23-May-13,29-May-13,
5,General,San Diego,"2,500",26-May-13,31-May-13,
6,White,Santa Barbara,"1,984",27-May-13,5-Jun-13,
7,Powerhouse,Los Angeles,"30,274",30-May-13,10-Jun-13,
8,Hathaway,Riverside,"3,870",9-Jun-13,15-Oct-13,
9,Carstens,Mariposa,"1,708",16-Jun-13,26-Jun-13,
10,Chariot,San Diego,"7,055",6-Jul-13,15-Jul-13,
11,Mountain,Riverside,"27,531",15-Jul-13,31-Jul-13,
12,Aspen,Fresno,"22,992",22-Jul-13,8-Sep-13,
13,Forks Complex,Siskiyou,"37,246",31-Jul-13,1-Oct-13,
14,Falls,Riverside,"1,383",5-Aug-13,9-Aug-13,
15,Power,Tuolumne,"1,070",5-Aug-13,13-Aug-13,
16,Silver,Riverside,"20,292",7-Aug-13,12-Aug-13,
17,Corral Complex,Humboldt,"12,503",10-Aug-13,2-Oct-13,
18,American,Placer,"22,407",11-Aug-13,29-Aug-13,
19,Swedes,Butte,"2,264",16-Aug-13,22-Aug-13,
20,Rim,Tuolumne,"257,314",17-Aug-13,27-Oct-13,
21,Mission,Monterey,"4,500",22-Aug-13,25-Aug-13,
22,Deer,Tehama,"11,429",23-Aug-13,29-Aug-13,
23,Fish,Tulare,"2,060",23-Aug-13,5-Sep-13,
24,Morgan,Contra Costa,"3,100",8-Sep-13,14-Sep-13,
25,Clover,Shasta,"8,073",9-Sep-13,15-Sep-13,
26,Deluz,San Diego,"2,236",5-Oct-13,9-Oct-13,
27,Mccabe,Sonoma,"3,505",22-Nov-13,28-Nov-13,
0,Soda,Tulare,"1,612",14-Jan-14,15-Feb-14,
1,Colby,Los Angeles,"1,952",16-Jan-14,21-Jan-14,
2,Etiwanda,San Bernardino,"2,200",30-Apr-14,9-May-14,
3,Bernardo,San Diego,"1,548",13-May-14,17-May-14,
4,Tomahawk,San Diego,"5,367",14-May-14,19-May-14,
5,Poinsettia,San Diego,600,14-May-14,17-May-14,
6,Cocos,San Diego,"1,995",14-May-14,22-May-14,
7,Pulgas,San Diego,"14,416",15-May-14,21-May-14,
8,San Mateo,San Diego,"1,457",16-May-14,20-May-14,
9,Shirley,Kern,"2,545",13-Jun-14,22-Jun-14,
10,Stony,Monterey,"4,840",19-Jun-14,22-Jun-14,
11,Butts,Napa,"4,300",1-Jul-14,9-Jul-14,
12,Modoc July Complex,Modoc,"2,566",1-Jul-14,7-Jul-14,
13,Monticello,Yolo,"6,488",4-Jul-14,12-Jul-14,
14,Bully,Shasta,"12,661",11-Jul-14,28-Jul-14,
15,Nicolls,Kern,"1,680",11-Jul-14,19-Jul-14,
16,Dark Hole,Mariposa,"1,077",16-Jul-14,20-Aug-14,
17,Sand,El Dorado,"4,240",25-Jul-14,2-Sep-14,
18,Kelley,Merced,"1,000",26-Jul-14,29-Jul-14,
19,El Portal,Mariposa,"4,689",26-Jul-14,4-Aug-14,
20,French,Madera,"13,838",28-Jul-14,18-Aug-14,
21,Day,Modoc,"13,153",30-Jul-14,13-Aug-14,
22,Lodge Complex,Mendocino,"12,535",30-Jul-14,9-Aug-14,
23,Bald,Shasta,"39,736",30-Jul-14,16-Aug-14,
24,Coffee Complex,Trinity,"6,178",30-Jul-14,16-Aug-14,
25,KNF Beaver,Siskiyou,"32,496",30-Jul-14,30-Aug-14,
26,Little Deer,Siskiyou,"5,503",31-Jul-14,11-Aug-14,
27,Eiler,Shasta,"32,416",31-Jul-14,24-Aug-14,
28,July Complex,Siskiyou,"50,042",3-Aug-14,25-Sep-14,
29,Happy Camp Complex,Siskiyou,"134,056",14-Aug-14,31-Oct-14,
30,Meadow,Mariposa,"4,772",15-Aug-14,29-Sep-14,
31,Way,Kern,"4,045",18-Aug-14,28-Aug-14,
32,Gulch,Shasta,"1,375",10-Sep-14,16-Sep-14,
33,King,El Dorado,"97,717",13-Sep-14,9-Oct-14,
34,Courtney,Madera,320,14-Sep-14,21-Sep-14,
35,Boles,Siskiyou,516,15-Sep-14,11-Oct-14,
36,Dog Rock,Mariposa,311,7-Oct-14,12-Oct-14,
0,Round,Inyo,"7,000",6-Feb-15,12-Feb-15,
1,Highway,Riverside,"1,049",18-Apr-15,24-Apr-15,
2,Lake,San Bernardino,"31,359",17-Jun-15,1-Aug-15,
3,Park Hill,San Luis Obispo,"1,791",20-Jun-15,24-Jun-15,
4,North,San Bernardino,"4,250",17-Jul-15,21-Jul-15,
5,Wragg,Napa,"8,051",22-Jul-15,6-Aug-15,
6,Rocky,Lake,"69,438",29-Jul-15,14-Aug-15,
7,Fork Complex,Shasta,"36,503",30-Jul-15,3-Nov-15,
8,River Complex,Trinity,"77,081",30-Jul-15,29-Oct-15,
9,Frog,Lassen,"4,863",30-Jul-15,20-Aug-15,
10,Humboldt Lightning,Humboldt,"4,883",30-Jul-15,19-Aug-15,
11,Mad River Complex,Humboldt,"73,137",30-Jul-15,13-Sep-15,
12,Rough,Fresno,"151,623",31-Jul-15,5-Nov-15,
13,Dodge,Lassen,"10,570",3-Aug-15,17-Aug-15,
14,Gasquet,Del Norte,"30,361",3-Aug-15,15-Oct-15,
15,Jerusalem,Lake and Napa,"25,118",9-Aug-15,25-Aug-15,
16,Cabin,Glendora,"1,723",14-Aug-15,20-Nov-15,
17,Cuesta,San Luis Obispo,"2,446",16-Aug-15,28-Aug-15,
18,Tesla,Alameda,"2,700",19-Aug-15,22-Aug-15,
19,Butte,Amador,"70,868",9-Sep-15,1-Oct-15,
20,Valley,Lake,"76,067",12-Sep-15,15-Oct-15,
21,Tassajara,Monterey,"1,086",19-Sep-15,27-Sep-15,
22,Solimar,Ventura,"1,388",25-Dec-15,29-Dec-15,
0,Roberts,San Luis Obispo,"3,712",18-May-16,20-May-16,
1,Metz,Monterey,"3,876",22-May-16,25-May-16,
2,Coleman,Monterey,"2,520",4-Jun-16,17-Jun-16,
3,Pony,Siskiyou,"2,860",7-Jun-16,30-Jun-16,
4,Sherpa,Santa Barbara,"7,474",15-Jun-16,12-Jul-16,
5,Border,San Diego,"7,609",19-Jun-16,30-Jun-16,
6,Pine,Ventura,"2,304",19-Jun-16,17-Jul-16,
7,San Gabriel Complex,Los Angeles,"5,399",20-Jun-16,23-Jul-16,
8,Erskine,Kern,"48,019",23-Jun-16,12-Jul-16,
9,Trailhead,Placer,"5,646",28-Jun-16,18-Jul-16,
10,Deer,Kern,"1,785",1-Jul-16,11-Jul-16,
11,Curry,Fresno,"2,944",1-Jul-16,5-Jul-16,
12,Sage,Los Angeles,"1,109",9-Jul-16,16-Jul-16,
13,Roblar,San Diego,"1,245",21-Jul-16,30-Jul-16,
14,Sand,Los Angeles,"41,432",22-Jul-16,3-Aug-16,
15,Soberanes,Monterey,"132,100",22-Jul-16,12-Oct-16,
16,Goose,Fresno,"2,241",30-Jul-16,9-Aug-16,
17,Cold,Yolo,"5,731",2-Aug-16,12-Aug-16,
18,Pilot,San Bernardino,"8,110",7-Aug-16,16-Aug-16,
19,Mineral,Fresno,"7,050",9-Aug-16,18-Aug-16,
20,Chimney,San Luis Obispo,"46,344",13-Aug-16,6-Sep-16,
21,Clayton,Lake,"3,929",13-Aug-16,26-Aug-16,
22,Blue Cut,San Bernardino,"36,274",16-Aug-16,23-Aug-16,
23,Cedar,Kern,"29,322",16-Aug-16,30-Sep-16,
24,Rey,Santa Barbara,"32,606",18-Aug-16,16-Sep-16,
25,Gap,Siskiyou,"33,867",27-Aug-16,17-Sep-16,
26,Bogart,Riverside,"1,470",30-Aug-16,2-Sep-16,
27,Willard,Lassen,"2,575",11-Sep-16,22-Sep-16,
28,Owens River,Mono,"5,443",17-Sep-16,15-Oct-16,
29,Canyon,Santa Barbara,"12,518",17-Sep-16,24-Sep-16,
30,Sawmill,Sonoma,"1,547",25-Sep-16,29-Sep-16,
31,Marshes,Tuolumne,"1,080",26-Sep-16,4-Oct-16,
32,Loma,Santa Clara,"4,474",26-Sep-16,12-Oct-16,
0,Jayne,Fresno,"5,738",20-Apr-17,21-Apr-17,
1,Opera,Riverside,"1,350",30-Apr-17,2-May-17,
2,Elm,Fresno,"10,345",18-May-17,21-May-17,
3,Gate,San Diego,"2,056",20-May-17,23-May-17,
4,Oakwood,Madera,"1,431",10-Jun-17,13-Jun-17,
5,Highway,Kern,"1,522",18-Jun-17,28-Jun-17,
6,Holcomb,San Bernardino,"1,503",19-Jun-17,29-Jun-17,
7,Schaeffer,Tulare,"16,031",24-Jun-17,10-Aug-17,
8,Salmon August Complex,Siskiyou,"65,888",25-Jun-17,8-Dec-17,
9,Manzanita,Riverside,"6,309",26-Jun-17,30-Jun-17,
10,Hill,San Luis Obispo,"1,598",26-Jun-17,30-Jun-17,
11,Winters,Yolo,"2,269",6-Jul-17,12-Jul-17,
12,Alamo,San Luis Obispo,"28,687",6-Jul-17,19-Jul-17,
13,Wall,Butte,"6,033",7-Jul-17,17-Jul-17,
14,Whittier,Santa Barbara,"18,430",8-Jul-17,5-Oct-17,
15,Parkfield,Monterey,"1,816",8-Jul-17,11-Jul-17,
16,Garza,Fresno,"48,889",9-Jul-17,21-Jul-17,
17,Long Valley,Lassen,"83,733",11-Jul-17,21-Jul-17,
18,Detwiler,Mariposa,"81,826",16-Jul-17,24-Aug-17,
19,Modoc July Complex,Modoc,"83,120",24-Jul-17,16-Aug-17,
20,Orleans Complex,Siskiyou,"27,276",25-Jul-17,26-Sep-17,
21,Empire,Mariposa,"6,370",1-Aug-17,27-Nov-17,
22,Parker 2,Modoc,"7,697",3-Aug-17,29-Aug-17,
23,Young,Siskiyou,"2,500",7-Aug-17,28-Aug-17,
24,South Fork,Mariposa,"7,000",13-Aug-17,27-Nov-17,
25,Blaine,Riverside,"1,044",13-Aug-17,16-Aug-17,
26,Eclipse Complex,Siskiyou,"78,698",15-Aug-17,29-Nov-17,
27,Pier,Tulare,"36,556",29-Aug-17,29-Nov-17,
28,Railroad,Madera,"12,407",29-Aug-17,24-Oct-17,
29,Ponderosa,Butte,"4,016",29-Aug-17,9-Sep-17,
30,Mud,Lassen,"6,042",29-Aug-17,1-Sep-17,
31,Slinkard,Mono,"8,925",29-Aug-17,12-Sep-17,
32,Helena,Trinity,"21,846",30-Aug-17,15-Nov-17,
33,La Tuna,Los Angeles,"7,194",1-Sep-17,9-Sep-17,
34,Palmer,Riverside,"3,874",2-Sep-17,6-Sep-17,
35,Mission,Madera,"1,035",3-Sep-17,13-Sep-17,
36,Buck,Trinity,"13,417",12-Sep-17,20-Nov-17,
37,Lion,Tulare,"18,900",24-Sep-17,2-Dec-17,
38,Canyon,Riverside,"2,662",25-Sep-17,4-Oct-17,
39,Cherokee,Butte,"8,417",8-Oct-17,16-Oct-17,
40,Atlas,Napa/Solano,"51,624",8-Oct-17,31-Oct-17,
41,Tubbs,Napa/Sonoma,"36,807",8-Oct-17,31-Oct-17,
42,Nuns,Sonoma,"56,556",8-Oct-17,30-Oct-17,
43,Redwood Valley Complex,Mendocino,"36,523",8-Oct-17,28-Oct-17,
44,La Porte,Butte,"6,151",9-Oct-17,18-Oct-17,
45,Cascade,Yuba,"9,989",9-Oct-17,18-Oct-17,
46,Sulphur,Lake,"2,207",9-Oct-17,26-Oct-17,
47,Canyon 2,Orange,"9,217",9-Oct-17,18-Oct-17,
48,37,Sonoma,"1,660",9-Oct-17,13-Oct-17,
49,Pocket,Sonoma,"17,357",9-Oct-17,31-Oct-17,
50,Lobo,Nevada,821,9-Oct-17,18-Oct-17,
51,Bear,Santa Cruz,391,16-Oct-17,27-Oct-17,
52,Buffalo Fire,San Diego,"1,088",17-Oct-17,14-Nov-17,
53,Wildomar,Riverside,866,27-Oct-17,29-Oct-17,
54,Thomas,Ventura/Santa Barbara,"281,893",4-Dec-17,12-Jan-18,
55,Creek,Los Angeles,"15,619",5-Dec-17,9-Jan-18,
56,Rye,Los Angeles,"6,049",5-Dec-17,12-Dec-17,
57,Little Mountain,San Bernardino,260,5-Dec-17,7-Dec-17,
58,Skirball,Los Angeles,422,6-Dec-17,15-Dec-17,
59,Lilac,San Diego,"4,100",7-Dec-17,16-Dec-17,
60,Liberty,Riverside,300,7-Dec-17,9-Dec-17,
0,Pleasant,Inyo,"2,070",18-Feb-18,3-Apr-18,
1,Moffat,Inyo,"1,265",19-Apr-18,21-May-18,
2,Nees,Merced,"1,756",2-May-18,17-May-18,
3,Patterson,Riverside,"1,261",17-May-18,21-May-18,
4,Panoche,San Benito,64,4-Jun-18,7-Jun-18,
5,Stone,Los Angeles,"1,352",4-Jun-18,13-Jun-18,
6,Airline,San Benito,"1,314",4-Jun-18,14-Jun-18,
7,Apple,Tehama,"2,956",9-Jun-18,14-Jun-18,
8,Chrome,Glenn,"2,290",9-Jun-18,21-Jun-18,
9,Lions,Madera,"13,347",11-Jun-18,1-Oct-18,
10,Planada,Merced,"4,564",15-Jun-18,21-Jun-18,
11,Yankee,San Luis Obispo,"1,500",20-Jun-18,1-Jul-18,
12,Lane,Tehama,"3,716",23-Jun-18,4-Jul-18,
13,Pawnee,Lake,"15,185",23-Jun-18,8-Jul-18,
14,Creek,Madera,"1,678",24-Jun-18,5-Jul-18,
15,Waverly,San Joaquin,"12,300",29-Jun-18,2-Jul-18,
16,County,"Lake, Napa, Yolo","90,288",30-Jun-18,14-Jul-18,
17,Klamathon,Siskiyou,"38,008",5-Jul-18,16-Jul-18,
18,Valley,San Bernardino,"1,350",6-Jul-18,22-Oct-18,
19,Holiday,Santa Barbara,113,6-Jul-18,11-Jul-18,
20,Pendleton Complex,San Diego,"1,800",6-Jul-18,11-Jul-18,
21,West,San Diego,504,6-Jul-18,11-Jul-18,
22,Georges,Inyo,"2,883",8-Jul-18,18-Jul-18,
23,Ferguson,Mariposa,"96,901",13-Jul-18,18-Aug-18,
24,Eagle,Modoc,"2,100",13-Jul-18,17-Jul-18,
25,Natchez,"Del Norte, Siskiyou","38,134",15-Jul-18,30-Oct-18,
26,Carr,Shasta,"229,651",23-Jul-18,30-Aug-18,
27,Cranston,Riverside,"13,139",26-Jul-18,10-Aug-18,
28,Mendocino Complex,"Mendocino, Lake, Colusa, Glenn","459,123",27-Jul-18,18-Sep-18,
29,Whaleback,Lassen,"18,703",27-Jul-18,7-Aug-18,
30,Butte,Sutter,"1,200",31-Jul-18,3-Aug-18,
31,Donnell,Tuolumne,"36,450",1-Aug-18,1-Oct-18,
32,Tarina,Kern,"2,950",3-Aug-18,6-Aug-18,
33,Pendleton,San Diego,"1,000",5-Aug-18,6-Aug-18,
34,Turkey,Monterey,"2,225",6-Aug-18,6-Aug-18,
35,Holy,"Orange, Riverside","23,136",6-Aug-18,13-Sep-18,
36,Five,Kings,"2,995",6-Aug-18,8-Aug-18,
37,Hirz,Shasta,"46,150",9-Aug-18,12-Sep-18,
38,Hat,Shasta,"1,900",9-Aug-18,16-Aug-18,
39,Nelson,Solano,"2,162",10-Aug-18,12-Aug-18,
40,Stone,Modoc,"39,387",15-Aug-18,29-Aug-18,
41,Mill Creek 1,Humboldt,"3,674",16-Aug-18,30-Aug-18,
42,Front,"San Luis Obispo, Santa Barbara","1,014",19-Aug-18,29-Aug-18,
43,North,Placer,"1,120",3-Sep-18,16-Sep-18,
44,Boot,Mono,"6,974",4-Sep-18,15-Sep-18,
45,Kerlin,Trinity,"1,751",4-Sep-18,17-Sep-18,
46,Delta,Shasta,"63,311",5-Sep-18,7-Oct-18,
47,Snell,Napa,"2,490",8-Sep-18,15-Sep-18,
48,Charlie,Los Angeles,"3,380",22-Sep-18,1-Oct-18,
49,Alder,Tulare,"4,653",4-Oct-18,7-Dec-18,
50,Eden,Tulare,"1,777",4-Oct-18,7-Dec-18,
51,Branscombe,Solano,"4,700",7-Oct-18,9-Nov-18,
52,Sun,Tehama,"3,889",7-Oct-18,12-Oct-18,
53,Mountaineer,Tulare,"1,270",13-Oct-18,7-Dec-18,
54,Camp,Butte,"153,336",8-Nov-18,25-Nov-18,
55,Nurse,Solano,"1,500",8-Nov-18,27-Nov-18,
56,Hill,Ventura,"4,531",8-Nov-18,15-Nov-18,
57,Woolsey,"Los Angeles, Ventura","96,949",8-Nov-18,22-Nov-18,
