incident_acres_burned,incident_dateonly_extinguished,incident_containment,incident_name,incident_county,STNAME,FIPS
47029,2020-09-14,100,Loyalton ,Sierra County,CA,06091
3780,2020-08-28,100,Beach ,Mono County,CA,06051
48088,2020-09-04,100,River ,Monterey County,CA,06053
43273,2020-09-14,100,Dome ,San Bernardino County,CA,06071
86509,2020-09-22,100,CZU Lightning Complex ,San Mateo County,CA,06081
86509,2020-09-22,100,CZU Lightning Complex ,Santa Cruz County,CA,06087
396624,2020-10-01,100,SCU Lightning Complex ,Santa Clara County,CA,06085
396624,2020-10-01,100,SCU Lightning Complex ,Alameda County,CA,06001
396624,2020-10-01,100,SCU Lightning Complex ,Contra Costa County,CA,06013
396624,2020-10-01,100,SCU Lightning Complex ,San Joaquin County,CA,06077
396624,2020-10-01,100,SCU Lightning Complex ,Merced County,CA,06047
396624,2020-10-01,100,SCU Lightning Complex ,Stanislaus County,CA,06099
1032648,2020-11-12,100,August Complex ,Glenn County,CA,06021
1032648,2020-11-12,100,August Complex ,Mendocino County,CA,06045
1032648,2020-11-12,100,August Complex ,Lake County,CA,06033
1032648,2020-11-12,100,August Complex ,Tehama County,CA,06103
1032648,2020-11-12,100,August Complex ,Trinity County,CA,06105
1032648,2020-11-12,100,August Complex ,Shasta County,CA,06089
8177,2020-11-30,85,Rattlesnake ,Tulare County,CA,06107
363220,2020-10-02,100,LNU Lightning Complex ,Colusa County,CA,06011
363220,2020-10-02,100,LNU Lightning Complex ,Lake County,CA,06033
363220,2020-10-02,100,LNU Lightning Complex ,Napa County,CA,06055
363220,2020-10-02,100,LNU Lightning Complex ,Sonoma County,CA,06097
363220,2020-10-02,100,LNU Lightning Complex ,Solano County,CA,06095
363220,2020-10-02,100,LNU Lightning Complex ,Yolo County,CA,06113
3000,2020-09-06,100,Holser ,Ventura County,CA,06111
19609,2020-10-17,100,Butte/Tehama/Glenn Lightning Complex (Butte Zone) ,Butte County,CA,06007
318935,2020-11-30,98,North Complex ,Plumas County,CA,06063
318935,2020-11-30,98,North Complex ,Butte County,CA,06007
705,2020-08-28,100,Jones ,Nevada County,CA,06057
29570,2020-09-09,100,Sheep ,Plumas County,CA,06063
29570,2020-09-09,100,Sheep ,Lassen County,CA,06035
1789,2020-08-24,100,Salt ,Calaveras County,CA,06009
84817,2020-09-14,100,W-5 Cold Springs ,Lassen County,CA,06035
84817,2020-09-14,100,W-5 Cold Springs ,Modoc County,CA,06049
6905,2020-09-04,100,Carmel ,Monterey County,CA,06053
124924,2020-11-30,98,Dolan/Coleman ,Monterey County,CA,06053
124924,2020-11-30,98,Dolan/Coleman ,San Luis Obispo County,CA,06079
4929,2020-10-02,100,Woodward ,Marin County,CA,06041
174178,2020-11-30,91,SQF Complex ,Tulare County,CA,06107
2857,2020-08-30,100,Moc ,Tuolumne County,CA,06109
1316,2020-11-30,95,Moraine ,Fresno County,CA,06019
1316,2020-11-30,95,Moraine ,Tulare County,CA,06107
26759,2020-11-08,100,Slink ,Alpine County,CA,06003
26759,2020-11-08,100,Slink ,Mono County,CA,06051
379895,2020-11-30,96,Creek ,Fresno County,CA,06019
379895,2020-11-30,96,Creek ,Madera County,CA,06039
22744,2020-11-16,100,El Dorado ,San Bernardino County,CA,06071
22744,2020-11-16,100,El Dorado ,Riverside County,CA,06065
16390,2020-09-24,100,Valley ,San Diego County,CA,06073
115997,2020-11-30,99,Bobcat ,Los Angeles County,CA,06037
1100,2020-09-14,100,Oak ,Mendocino County,CA,06045
166127,2020-11-16,100,Slater / Devil ,Siskiyou County,CA,06093
166127,2020-11-16,100,Slater / Devil ,Del Norte County,CA,06015
1673,2020-11-09,100,Fork ,El Dorado County,CA,06017
1185,2020-11-09,100,Bullfrog ,Fresno County,CA,06019
1311,2020-09-14,100,Willow ,Yuba County,CA,06115
2188,2020-09-29,100,Fox ,Siskiyou County,CA,06093
6254,2020-10-06,100,Snow ,Riverside County,CA,06065
67484,2020-10-20,100,Glass ,Napa County,CA,06055
67484,2020-10-20,100,Glass ,Sonoma County,CA,06097
56338,2020-10-13,100,Zogg ,Shasta County,CA,06089
12466,2020-11-07,100,Silverado ,Orange County,CA,06059
13694,2020-11-07,100,Blue Ridge ,Orange County,CA,06059
13694,2020-11-07,100,Blue Ridge ,San Bernardino County,CA,06071
13694,2020-11-07,100,Blue Ridge ,Riverside County,CA,06065
2800,2020-11-24,100,Laura 2 ,Lassen County,CA,06035
20385,2020-11-30,70,Mountain View ,Mono County,CA,06051
