incident_acres_burned,incident_dateonly_extinguished,incident_containment,incident_name,incident_county,STNAME,FIPS
1310,2008-10-23,100,Lackerman,Butte County,CA,06007
1940,2008-11-17,100,Tea,Santa Barbara County,CA,06083
11200,2008-11-20,100,Sayre,Los Angeles County,CA,06037
30305,2008-11-22,100,Freeway Complex,Riverside County,CA,06065
8733,2009-05-20,100,Jesusita,Santa Barbara County,CA,06083
3047,2009-07-13,100,Grouse,Mariposa County,CA,06043
1661,2009-07-11,100,Harden,Tuolumne County,CA,06109
2163,2009-06-19,100,Explosive,San Joaquin County,CA,06077
3988,2009-08-21,100,Lion Complex,Tulare County,CA,06107
6324,2009-07-24,100,Backbone,Trinity County,CA,06105
2200,2009-07-14,100,Yankee,San Diego County,CA,06073
3268,2009-07-27,100,Fork,Inyo County,CA,06027
3225,2009-07-27,100,Tennant,Siskiyou County,CA,06093
6130,2009-08-11,100,Knight,Tuolumne County,CA,06109
1100,2009-08-31,100,Wildcat,Tuolumne County,CA,06109
11269,2009-08-12,100,Hat Creek Complex,Shasta County,CA,06089
1500,2009-08-07,100,W-4,Lassen County,CA,06035
1600,2009-08-03,100,Dodge Complex,Lassen County,CA,06035
1000,2009-08-12,100,Brown,Shasta County,CA,06089
1664,2009-08-21,100,Fairfield,Shasta County,CA,06089
6895,2009-08-16,100,Chalk (Shu Complex),Shasta County,CA,06089
3918,2009-08-17,100,Goose (Shu Complex),Shasta County,CA,06089
6319,2009-08-14,100,Cassel (Shu Complex),Shasta County,CA,06089
89489,2009-08-23,100,La Brea,Santa Barbara County,CA,06083
7817,2009-08-23,100,Lockheed,Santa Cruz County,CA,06087
1300,2009-08-15,100,Coffin,Trinity County,CA,06105
12200,2009-08-16,100,Corral,San Joaquin County,CA,06077
3891,2009-08-24,100,Yuba,Yuba County,CA,06115
1364,2009-09-04,100,Red Rock,Siskiyou County,CA,06093
2168,2009-09-03,100,Morris,Los Angeles County,CA,06037
3383,2009-08-29,100,Bryson,Monterey County,CA,06053
160577,2009-10-16,100,Station,Los Angeles County,CA,06037
7425,2009-09-10,100,Big Meadows,Mariposa County,CA,06043
6437,2009-09-01,100,Gloria,Monterey County,CA,06053
2409,2009-08-31,100,Cottonwood,Riverside County,CA,06065
1600,2009-08-30,100,Pacheco,Santa Clara County,CA,06085
1159,2009-09-08,100,Oak Glen III,San Bernardino County,CA,06071
1500,2009-09-12,100,Oasis,Lake County,CA,06033
17500,2009-10-01,100,Guiberson,Ventura County,CA,06111
1235,2009-10-01,100,Six,Yolo County,CA,06113
7128,2009-10-10,100,Sheep,San Bernardino County,CA,06071
2750,2009-10-17,100,Mill Creek #4,Humboldt County,CA,06023
2044,2010-05-17,100,Cotton,San Luis Obispo County,CA,06079
1000,2010-05-22,100,McKinley,Riverside County,CA,06065
1600,2010-06-12,100,Robinson,Merced County,CA,06047
3225,2010-07-13,100,Aliso,San Diego County,CA,06073
1254,2010-07-22,100,Sand 2,Kern County,CA,06029
1822,2010-07-24,100,Indian,Kern County,CA,06029
1205,2010-07-29,100,Mono,Mono County,CA,06051
16442,2010-08-10,100,Bull,Kern County,CA,06029
9408,2010-08-10,100,McDonald,Lassen County,CA,06035
1650,2010-08-06,100,West,Kern County,CA,06029
13918,2010-08-03,100,Crown,Los Angeles County,CA,06037
1040,2010-08-10,100,Bar,Plumas County,CA,06063
1200,2010-08-22,100,Pozo,San Luis Obispo County,CA,06079
1312,2010-08-28,100,Post,Kern County,CA,06029
1307,2010-08-31,100,Bullard,Yuba County,CA,06115
1500,2010-09-13,100,Bullards,Nevada County,CA,06057
9820,2010-09-19,100,Canyon,Kern County,CA,06029
1122,2011-05-31,100,Cove,Kern County,CA,06029
2000,2011-06-13,100,Cougar,Modoc County,CA,06049
5200,2011-06-21,100,Antelope,Kern County,CA,06029
3154,2011-06-22,100,Quinn,Kern County,CA,06029
1213,2011-07-02,100,Stage,Tulare County,CA,06107
20500,2011-10-10,100,Lion,Tulare County,CA,06107
2945,2011-07-18,100,Scorpion Complex,Modoc County,CA,06049
14100,2011-07-29,100,Eagle,San Diego County,CA,06073
2076,2011-08-21,100,Annie,Modoc County,CA,06049
5231,2011-09-04,100,Motor,Mariposa County,CA,06043
1723,2011-08-31,100,Wells,San Bernardino County,CA,06071
1135,2011-09-02,100,Hill,San Bernardino County,CA,06071
1528,2011-09-04,100,Soda,San Luis Obispo County,CA,06079
14585,2011-09-11,100,Canyon,Kern County,CA,06029
1122,2011-09-11,100,Milton,San Joaquin County,CA,06077
2577,2011-09-14,100,Keene Complex,Kern County,CA,06029
29338,2011-09-14,100,Comanche Complex,Kern County,CA,06029
25213,2011-09-17,100,Breckenridge Complex,Kern County,CA,06029
5300,2011-09-16,100,John,Inyo County,CA,06027
1011,2011-10-17,100,Tamarack,Mariposa County,CA,06043
2005,2011-09-23,100,65 Fire,Kern County,CA,06029
1460,2011-09-28,100,Ruth,Trinity County,CA,06105
1140,2011-09-27,100,Buckeye,Mono County,CA,06051
2135,2011-10-07,100,Great,San Diego County,CA,06073
5320,2012-05-29,100,Banner,San Diego County,CA,06073
1707,2012-06-15,100,George,Tulare County,CA,06107
1700,2012-06-14,100,Gaines,Mariposa County,CA,06043
2171,2012-06-18,100,Highland,Riverside County,CA,06065
1705,2012-11-26,100,Cascade,Mariposa County,CA,06043
1083,2012-07-07,100,Dale,Shasta County,CA,06089
1103,2012-07-09,100,Fish,Inyo County,CA,06027
29502,2012-07-18,100,Mill,Colusa County,CA,06011
1870,2012-07-12,100,Grapevine,Colusa County,CA,06011
1870,2012-07-12,100,Rail,Colusa County,CA,06011
2529,2012-07-20,100,Turkey,Monterey County,CA,06053
2650,2012-07-21,100,Robbers,Placer County,CA,06061
1688,2012-07-17,100,Flat,Trinity County,CA,06105
1428,2012-07-19,100,Sand,Kern County,CA,06029
1169,2012-07-21,100,Spanish,Lassen County,CA,06035
28079,2012-08-21,100,Reading,Shasta County,CA,06089
75217,2012-08-31,100,Chips,Plumas County,CA,06063
1000,2012-08-04,100,Rushmore,Riverside County,CA,06065
1783,2012-08-11,100,Piute Comlex,Kern County,CA,06029
1668,2012-08-09,100,Lake Complex,Modoc County,CA,06049
23653,2012-09-10,100,Fort Complex,Siskiyou County,CA,06093
38394,2012-08-28,100,Barry Point,Modoc County,CA,06049
12574,2012-08-15,100,Indian,Mono County,CA,06051
2006,2012-08-12,100,Chihuahua,San Diego County,CA,06073
1218,2012-08-22,100,Jawbone Complex,Kern County,CA,06029
1137,2012-08-31,100,Ramsey,Calaveras County,CA,06009
2934,2012-08-18,100,Wye,Lake County,CA,06033
5000,2012-08-14,100,Walker,Lake County,CA,06033
271911,2012-08-31,100,Rush,Lassen County,CA,06035
22829,2012-08-20,100,Vallecito Lightning Complex,San Diego County,CA,06073
1641,2012-08-23,100,Mill,Tehama County,CA,06103
2681,2012-08-18,100,Buck,Riverside County,CA,06065
3661,2012-08-21,100,Nelson,Modoc County,CA,06049
27676,2012-09-02,100,Ponderosa,Tehama County,CA,06103
1000,2012-08-22,100,Bagley Complex,Shasta County,CA,06089
41983,2012-09-16,100,North Pass,Mendocino County,CA,06045
46011,2012-09-15,100,Bagley,Shasta County,CA,06089
4192,2012-09-11,100,Williams,Los Angeles County,CA,06037
19000,2012-09-11,100,Sixteen Complex,Colusa County,CA,06011
4407,2012-09-13,100,Stafford,Trinity County,CA,06105
9838,2012-09-14,100,Likely,Lassen County,CA,06035
4517,2012-09-14,100,Scotts,Lake County,CA,06033
2555,2012-09-27,100,Shockey,San Diego County,CA,06073
6896,2013-05-09,100,Panther,Tehama County,CA,06103
3161,2013-05-04,100,Summit,Riverside County,CA,06065
24251,2013-05-09,100,Springs,Ventura County,CA,06111
4346,2013-05-22,100,Grand,Kern County,CA,06029
2650,2013-05-29,100,Felipe,San Diego County,CA,06073
2500,2013-05-31,100,General,San Diego County,CA,06073
1984,2013-06-05,100,White,Santa Barbara County,CA,06083
30274,2013-06-10,100,Powerhouse,Los Angeles County,CA,06037
3870,2013-10-15,100,Hathaway,Riverside County,CA,06065
1708,2013-06-26,100,Carstens,Mariposa County,CA,06043
7055,2013-07-15,100,Chariot,San Diego County,CA,06073
27531,2013-07-31,100,Mountain,Riverside County,CA,06065
22992,2013-09-08,100,Aspen,Fresno County,CA,06019
37246,2013-10-01,100,Forks Complex,Siskiyou County,CA,06093
1383,2013-08-09,100,Falls,Riverside County,CA,06065
1070,2013-08-13,100,Power,Tuolumne County,CA,06109
20292,2013-08-12,100,Silver,Riverside County,CA,06065
12503,2013-10-02,100,Corral Complex,Humboldt County,CA,06023
22407,2013-08-29,100,American,Placer County,CA,06061
2264,2013-08-22,100,Swedes,Butte County,CA,06007
257314,2013-10-27,100,Rim,Tuolumne County,CA,06109
4500,2013-08-25,100,Mission,Monterey County,CA,06053
11429,2013-08-29,100,Deer,Tehama County,CA,06103
2060,2013-09-05,100,Fish,Tulare County,CA,06107
3100,2013-09-14,100,Morgan,Contra Costa County,CA,06013
8073,2013-09-15,100,Clover,Shasta County,CA,06089
2236,2013-10-09,100,Deluz,San Diego County,CA,06073
3505,2013-11-28,100,Mccabe,Sonoma County,CA,06097
1612,2014-02-15,100,Soda,Tulare County,CA,06107
1952,2014-01-21,100,Colby,Los Angeles County,CA,06037
2200,2014-05-09,100,Etiwanda,San Bernardino County,CA,06071
1548,2014-05-17,100,Bernardo,San Diego County,CA,06073
5367,2014-05-19,100,Tomahawk,San Diego County,CA,06073
600,2014-05-17,100,Poinsettia,San Diego County,CA,06073
1995,2014-05-22,100,Cocos,San Diego County,CA,06073
14416,2014-05-21,100,Pulgas,San Diego County,CA,06073
1457,2014-05-20,100,San Mateo,San Diego County,CA,06073
2545,2014-06-22,100,Shirley,Kern County,CA,06029
4840,2014-06-22,100,Stony,Monterey County,CA,06053
4300,2014-07-09,100,Butts,Napa County,CA,06055
2566,2014-07-07,100,Modoc July Complex,Modoc County,CA,06049
6488,2014-07-12,100,Monticello,Yolo County,CA,06113
12661,2014-07-28,100,Bully,Shasta County,CA,06089
1680,2014-07-19,100,Nicolls,Kern County,CA,06029
1077,2014-08-20,100,Dark Hole,Mariposa County,CA,06043
4240,2014-09-02,100,Sand,El Dorado County,CA,06017
1000,2014-07-29,100,Kelley,Merced County,CA,06047
4689,2014-08-04,100,El Portal,Mariposa County,CA,06043
13838,2014-08-18,100,French,Madera County,CA,06039
13153,2014-08-13,100,Day,Modoc County,CA,06049
12535,2014-08-09,100,Lodge Complex,Mendocino County,CA,06045
39736,2014-08-16,100,Bald,Shasta County,CA,06089
6178,2014-08-16,100,Coffee Complex,Trinity County,CA,06105
32496,2014-08-30,100,KNF Beaver,Siskiyou County,CA,06093
5503,2014-08-11,100,Little Deer,Siskiyou County,CA,06093
32416,2014-08-24,100,Eiler,Shasta County,CA,06089
50042,2014-09-25,100,July Complex,Siskiyou County,CA,06093
134056,2014-10-31,100,Happy Camp Complex,Siskiyou County,CA,06093
4772,2014-09-29,100,Meadow,Mariposa County,CA,06043
4045,2014-08-28,100,Way,Kern County,CA,06029
1375,2014-09-16,100,Gulch,Shasta County,CA,06089
97717,2014-10-09,100,King,El Dorado County,CA,06017
320,2014-09-21,100,Courtney,Madera County,CA,06039
516,2014-10-11,100,Boles,Siskiyou County,CA,06093
311,2014-10-12,100,Dog Rock,Mariposa County,CA,06043
7000,2015-02-12,100,Round,Inyo County,CA,06027
1049,2015-04-24,100,Highway,Riverside County,CA,06065
31359,2015-08-01,100,Lake,San Bernardino County,CA,06071
1791,2015-06-24,100,Park Hill,San Luis Obispo County,CA,06079
4250,2015-07-21,100,North,San Bernardino County,CA,06071
8051,2015-08-06,100,Wragg,Napa County,CA,06055
69438,2015-08-14,100,Rocky,Lake County,CA,06033
36503,2015-11-03,100,Fork Complex,Shasta County,CA,06089
77081,2015-10-29,100,River Complex,Trinity County,CA,06105
4863,2015-08-20,100,Frog,Lassen County,CA,06035
4883,2015-08-19,100,Humboldt Lightning,Humboldt County,CA,06023
73137,2015-09-13,100,Mad River Complex,Humboldt County,CA,06023
151623,2015-11-05,100,Rough,Fresno County,CA,06019
10570,2015-08-17,100,Dodge,Lassen County,CA,06035
30361,2015-10-15,100,Gasquet,Del Norte County,CA,06015
25118,2015-08-25,100,Jerusalem,Lake and Napa County,CA,
1723,2015-11-20,100,Cabin,Glendora County,CA,
2446,2015-08-28,100,Cuesta,San Luis Obispo County,CA,06079
2700,2015-08-22,100,Tesla,Alameda County,CA,06001
70868,2015-10-01,100,Butte,Amador County,CA,06005
76067,2015-10-15,100,Valley,Lake County,CA,06033
1086,2015-09-27,100,Tassajara,Monterey County,CA,06053
1388,2015-12-29,100,Solimar,Ventura County,CA,06111
3712,2016-05-20,100,Roberts,San Luis Obispo County,CA,06079
3876,2016-05-25,100,Metz,Monterey County,CA,06053
2520,2016-06-17,100,Coleman,Monterey County,CA,06053
2860,2016-06-30,100,Pony,Siskiyou County,CA,06093
7474,2016-07-12,100,Sherpa,Santa Barbara County,CA,06083
7609,2016-06-30,100,Border,San Diego County,CA,06073
2304,2016-07-17,100,Pine,Ventura County,CA,06111
5399,2016-07-23,100,San Gabriel Complex,Los Angeles County,CA,06037
48019,2016-07-12,100,Erskine,Kern County,CA,06029
5646,2016-07-18,100,Trailhead,Placer County,CA,06061
1785,2016-07-11,100,Deer,Kern County,CA,06029
2944,2016-07-05,100,Curry,Fresno County,CA,06019
1109,2016-07-16,100,Sage,Los Angeles County,CA,06037
1245,2016-07-30,100,Roblar,San Diego County,CA,06073
41432,2016-08-03,100,Sand,Los Angeles County,CA,06037
132100,2016-10-12,100,Soberanes,Monterey County,CA,06053
2241,2016-08-09,100,Goose,Fresno County,CA,06019
5731,2016-08-12,100,Cold,Yolo County,CA,06113
8110,2016-08-16,100,Pilot,San Bernardino County,CA,06071
7050,2016-08-18,100,Mineral,Fresno County,CA,06019
46344,2016-09-06,100,Chimney,San Luis Obispo County,CA,06079
3929,2016-08-26,100,Clayton,Lake County,CA,06033
36274,2016-08-23,100,Blue Cut,San Bernardino County,CA,06071
29322,2016-09-30,100,Cedar,Kern County,CA,06029
32606,2016-09-16,100,Rey,Santa Barbara County,CA,06083
33867,2016-09-17,100,Gap,Siskiyou County,CA,06093
1470,2016-09-02,100,Bogart,Riverside County,CA,06065
2575,2016-09-22,100,Willard,Lassen County,CA,06035
5443,2016-10-15,100,Owens River,Mono County,CA,06051
12518,2016-09-24,100,Canyon,Santa Barbara County,CA,06083
1547,2016-09-29,100,Sawmill,Sonoma County,CA,06097
1080,2016-10-04,100,Marshes,Tuolumne County,CA,06109
4474,2016-10-12,100,Loma,Santa Clara County,CA,06085
5738,2017-04-21,100,Jayne,Fresno County,CA,06019
1350,2017-05-02,100,Opera,Riverside County,CA,06065
10345,2017-05-21,100,Elm,Fresno County,CA,06019
2056,2017-05-23,100,Gate,San Diego County,CA,06073
1431,2017-06-13,100,Oakwood,Madera County,CA,06039
1522,2017-06-28,100,Highway,Kern County,CA,06029
1503,2017-06-29,100,Holcomb,San Bernardino County,CA,06071
16031,2017-08-10,100,Schaeffer,Tulare County,CA,06107
65888,2017-12-08,100,Salmon August Complex,Siskiyou County,CA,06093
6309,2017-06-30,100,Manzanita,Riverside County,CA,06065
1598,2017-06-30,100,Hill,San Luis Obispo County,CA,06079
2269,2017-07-12,100,Winters,Yolo County,CA,06113
28687,2017-07-19,100,Alamo,San Luis Obispo County,CA,06079
6033,2017-07-17,100,Wall,Butte County,CA,06007
18430,2017-10-05,100,Whittier,Santa Barbara County,CA,06083
1816,2017-07-11,100,Parkfield,Monterey County,CA,06053
48889,2017-07-21,100,Garza,Fresno County,CA,06019
83733,2017-07-21,100,Long Valley,Lassen County,CA,06035
81826,2017-08-24,100,Detwiler,Mariposa County,CA,06043
83120,2017-08-16,100,Modoc July Complex,Modoc County,CA,06049
27276,2017-09-26,100,Orleans Complex,Siskiyou County,CA,06093
6370,2017-11-27,100,Empire,Mariposa County,CA,06043
7697,2017-08-29,100,Parker 2,Modoc County,CA,06049
2500,2017-08-28,100,Young,Siskiyou County,CA,06093
7000,2017-11-27,100,South Fork,Mariposa County,CA,06043
1044,2017-08-16,100,Blaine,Riverside County,CA,06065
78698,2017-11-29,100,Eclipse Complex,Siskiyou County,CA,06093
36556,2017-11-29,100,Pier,Tulare County,CA,06107
12407,2017-10-24,100,Railroad,Madera County,CA,06039
4016,2017-09-09,100,Ponderosa,Butte County,CA,06007
6042,2017-09-01,100,Mud,Lassen County,CA,06035
8925,2017-09-12,100,Slinkard,Mono County,CA,06051
21846,2017-11-15,100,Helena,Trinity County,CA,06105
7194,2017-09-09,100,La Tuna,Los Angeles County,CA,06037
3874,2017-09-06,100,Palmer,Riverside County,CA,06065
1035,2017-09-13,100,Mission,Madera County,CA,06039
13417,2017-11-20,100,Buck,Trinity County,CA,06105
18900,2017-12-02,100,Lion,Tulare County,CA,06107
2662,2017-10-04,100,Canyon,Riverside County,CA,06065
8417,2017-10-16,100,Cherokee,Butte County,CA,06007
51624,2017-10-31,100,Atlas,Napa/Solano County,CA,
36807,2017-10-31,100,Tubbs,Napa/Sonoma County,CA,
56556,2017-10-30,100,Nuns,Sonoma County,CA,06097
36523,2017-10-28,100,Redwood Valley Complex,Mendocino County,CA,06045
6151,2017-10-18,100,La Porte,Butte County,CA,06007
9989,2017-10-18,100,Cascade,Yuba County,CA,06115
2207,2017-10-26,100,Sulphur,Lake County,CA,06033
9217,2017-10-18,100,Canyon 2,Orange County,CA,06059
1660,2017-10-13,100,37,Sonoma County,CA,06097
17357,2017-10-31,100,Pocket,Sonoma County,CA,06097
821,2017-10-18,100,Lobo,Nevada County,CA,06057
391,2017-10-27,100,Bear,Santa Cruz County,CA,06087
1088,2017-11-14,100,Buffalo Fire,San Diego County,CA,06073
866,2017-10-29,100,Wildomar,Riverside County,CA,06065
281893,2018-01-12,100,Thomas,Ventura/Santa Barbara County,CA,
15619,2018-01-09,100,Creek,Los Angeles County,CA,06037
6049,2017-12-12,100,Rye,Los Angeles County,CA,06037
260,2017-12-07,100,Little Mountain,San Bernardino County,CA,06071
422,2017-12-15,100,Skirball,Los Angeles County,CA,06037
4100,2017-12-16,100,Lilac,San Diego County,CA,06073
300,2017-12-09,100,Liberty,Riverside County,CA,06065
2070,2018-04-03,100,Pleasant,Inyo County,CA,06027
1265,2018-05-21,100,Moffat,Inyo County,CA,06027
1756,2018-05-17,100,Nees,Merced County,CA,06047
1261,2018-05-21,100,Patterson,Riverside County,CA,06065
64,2018-06-07,100,Panoche,San Benito County,CA,06069
1352,2018-06-13,100,Stone,Los Angeles County,CA,06037
1314,2018-06-14,100,Airline,San Benito County,CA,06069
2956,2018-06-14,100,Apple,Tehama County,CA,06103
2290,2018-06-21,100,Chrome,Glenn County,CA,06021
13347,2018-10-01,100,Lions,Madera County,CA,06039
4564,2018-06-21,100,Planada,Merced County,CA,06047
1500,2018-07-01,100,Yankee,San Luis Obispo County,CA,06079
3716,2018-07-04,100,Lane,Tehama County,CA,06103
15185,2018-07-08,100,Pawnee,Lake County,CA,06033
1678,2018-07-05,100,Creek,Madera County,CA,06039
12300,2018-07-02,100,Waverly,San Joaquin County,CA,06077
90288,2018-07-14,100,County,Lake County,CA,06033
90288,2018-07-14,100,County,Napa County,CA,06055
90288,2018-07-14,100,County,Yolo County,CA,06113
38008,2018-07-16,100,Klamathon,Siskiyou County,CA,06093
1350,2018-10-22,100,Valley,San Bernardino County,CA,06071
113,2018-07-11,100,Holiday,Santa Barbara County,CA,06083
1800,2018-07-11,100,Pendleton Complex,San Diego County,CA,06073
504,2018-07-11,100,West,San Diego County,CA,06073
2883,2018-07-18,100,Georges,Inyo County,CA,06027
96901,2018-08-18,100,Ferguson,Mariposa County,CA,06043
2100,2018-07-17,100,Eagle,Modoc County,CA,06049
38134,2018-10-30,100,Natchez,Del Norte County,CA,06015
38134,2018-10-30,100,Natchez,Siskiyou County,CA,06093
229651,2018-08-30,100,Carr,Shasta County,CA,06089
13139,2018-08-10,100,Cranston,Riverside County,CA,06065
459123,2018-09-18,100,Mendocino Complex,Mendocino County,CA,06045
459123,2018-09-18,100,Mendocino Complex,Lake County,CA,06033
459123,2018-09-18,100,Mendocino Complex,Colusa County,CA,06011
459123,2018-09-18,100,Mendocino Complex,Glenn County,CA,06021
